threads,blockSize,readTime,searchTime,totalTime
1,1697203200.000000,194556,2503,197060
2,848601600.000000,194556,1173,195730
3,565734400.000000,194556,1160,195717
4,424300800.000000,194556,1264,195821
5,339440640.000000,194556,987,195544
6,282867200.000000,194556,953,195510
7,242457600.000000,194556,871,195428
8,212150400.000000,194556,893,195450
9,188578128.000000,194556,823,195380
10,169720320.000000,194556,715,195272
11,154291200.000000,194556,719,195276
12,141433600.000000,194556,807,195364
13,130554096.000000,194556,1301,195858
14,121228800.000000,194556,1205,195762
15,113146880.000000,194556,933,195490
16,106075200.000000,194556,1891,196448
17,99835480.000000,194556,1242,195799
18,94289064.000000,194556,728,195285
19,89326488.000000,194556,696,195253
20,84860160.000000,194556,711,195268
21,80819200.000000,194556,736,195293
22,77145600.000000,194556,1084,195641
23,73791440.000000,194556,1511,196068
24,70716800.000000,194556,1122,195679
25,67888128.000000,194556,1249,195806
26,65277048.000000,194556,838,195395
27,62859376.000000,194556,793,195350
28,60614400.000000,194556,834,195391
29,58524248.000000,194556,893,195450
30,56573440.000000,194556,883,195440
31,54748492.000000,194556,692,195249
32,53037600.000000,194556,725,195282
33,51430400.000000,194556,826,195383
34,49917740.000000,194556,896,195453
35,48491520.000000,194556,1212,195769
36,47144532.000000,194556,782,195339
37,45870356.000000,194556,732,195289
38,44663244.000000,194556,736,195293
39,43518032.000000,194556,908,195465
40,42430080.000000,194556,751,195308
41,41395200.000000,194556,797,195354
42,40409600.000000,194556,759,195316
43,39469840.000000,194556,746,195303
44,38572800.000000,194556,826,195383
45,37715628.000000,194556,1499,196056
46,36895720.000000,194556,1796,196353
47,36110708.000000,194556,1493,196050
48,35358400.000000,194556,1827,196384
49,34636800.000000,194556,1008,195565
50,33944064.000000,194556,858,195415
51,33278494.000000,194556,733,195290
52,32638524.000000,194556,693,195250
53,32022702.000000,194556,707,195264
54,31429688.000000,194556,709,195266
55,30858240.000000,194556,902,195459
56,30307200.000000,194556,770,195327
57,29775494.000000,194556,687,195244
58,29262124.000000,194556,672,195229
59,28766156.000000,194556,669,195226
60,28286720.000000,194556,696,195253
61,27823004.000000,194556,698,195255
62,27374246.000000,194556,1051,195608
63,26939734.000000,194556,978,195535
64,26518800.000000,194556,808,195365
65,26110818.000000,194556,832,195389
66,25715200.000000,194556,1038,195595
67,25331392.000000,194556,844,195401
68,24958870.000000,194556,946,195503
69,24597148.000000,194556,1206,195763
70,24245760.000000,194556,913,195470
71,23904270.000000,194556,1017,195574
72,23572266.000000,194556,749,195306
73,23249358.000000,194556,1013,195570
74,22935178.000000,194556,1557,196114
75,22629376.000000,194556,1031,195588
76,22331622.000000,194556,1056,195613
77,22041600.000000,194556,1328,195885
78,21759016.000000,194556,1384,195941
79,21483584.000000,194556,798,195355
80,21215040.000000,194556,722,195279
81,20953126.000000,194556,1037,195594
82,20697600.000000,194556,1225,195782
83,20448232.000000,194556,1294,195851
84,20204800.000000,194556,1214,195771
85,19967096.000000,194556,1032,195589
86,19734920.000000,194556,1215,195772
87,19508082.000000,194556,1750,196307
88,19286400.000000,194556,897,195454
89,19069698.000000,194556,844,195401
90,18857814.000000,194556,773,195330
91,18650584.000000,194556,708,195265
92,18447860.000000,194556,683,195240
93,18249496.000000,194556,843,195400
94,18055354.000000,194556,1159,195716
95,17865296.000000,194556,929,195486
96,17679200.000000,194556,1377,195934
97,17496940.000000,194556,732,195289
98,17318400.000000,194556,922,195479
99,17143466.000000,194556,1102,195659
100,16972032.000000,194556,982,195539
